Exporters	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"Ethiopia"	0	0	0	0	10	0	70	0	0	0	0	0	0	0	0	5	59	0			
"Fiji"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0			
"Djibouti"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0			
"Gabon"	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
"Georgia"	0	0	37	0	67	5	9	3	404	0	0	0	2	2	0	0	20	0			
"Gambia"	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	13	0			
"Ghana"	0	0	0	0	3	0	0	0	0	0	3	0	0	0	5	2	81	0			
"Greenland"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0			
"Guinea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	3	0			
"Guyana"	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	18	0			
"Haiti"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0			
"Honduras"	1775	3269	4280	3438	3153	3302	2639	3041	3650	3677	3903	2958	448	12	6	20	7	0			
"Iceland"	17	8	26	238	20	7	13	0	0	781	17	165	12	105	59	43	29	5	4		
"Côte d'Ivoire"	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
"Jamaica"	34	0	6	0	8	4	4	0	0	0	0	0	0	0	0	0	0	0			
"Jordan"	35	3	17	27	68	50	0	0	0	0	7	15	0	0	0	0	2844	0	4		
"Lebanon"	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
"Lesotho"	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0			
"Madagascar"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0			
"Maldives"	28	20	8	0	0	0	0	0	0	6	17	12	0	0	0	0	9	0			
"Mali"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0			
"Mauritius"	0	0	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0			
"Mongolia"	0	3	0	0	6	16	0	0	0	0	0	0	0	0	0	0	6	0	5		
"Montserrat"	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0			
"Mozambique"	0	0	0	0	0	0	0	43	0	0	0	3	0	0	0	0	139	0			
"Oman"	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	5	0			
"Namibia"	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	17	4	3	2		
"Netherlands Antilles"	0	0	199	35	200	8	8	0	0	0	0	0	0	0	0	0	0	0			
"Aruba"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0			
"New Caledonia"	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	5	56	0			
"Nicaragua"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0			
"Palau"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0			
"Panama"	31	0	0	0	6	62	20	1244	666	174	67	0	0	0	14	523	104	0			
"Papua New Guinea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0			
"Qatar"	0	0	0	3	0	0	119	15	0	3	0	0	0	0	0	0	69	0	8		
"Anguilla"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0			
"Saint Lucia"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0			
"Saint Vincent and the Grenadines"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0			
"Seychelles"	0	0	9	0	0	0	0	0	0	0	8	0	0	0	0	0	13	0			
"Zimbabwe"	0	0	0	0	0	6	6	42	0	0	0	0	0	0	0	6	4	0			
"Suriname"	0	0	0	0	0	0	0	28	0	0	0	7	0	0	0	0	0	0			
"Tajikistan"	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0			
"Trinidad and Tobago"	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	68	0			
"Turks and Caicos Islands"	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0			
"Macedonia, North"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0			
"Tanzania, United Republic of"	0	0	0	0	11	11	0	0	0	5	20	0	0	0	0	0	19	0	2050		
"Burkina Faso"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0			
"Uzbekistan"	27	0	136	133	14	0	0	0	0	0	6	0	0	0	0	0	57	0			
"Serbia and Montenegro"	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
