Exporters	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"Argentina"	140	371	225	609	433	162	430	513	261	4470	1512	120	2691	472	127	513	792	244	149	332	
"Comoros"	0	0	0	0	0	0	0	4	0	0	157	169	99	0	59	460	384	345	119	323	
"Jordan"	0	0	28	592	1048	58	88	21	203	1176	771	8	17	631	57	2	84	62	956	317	
"Cabo Verde"	0	0	0	0	0	0	1	0	0	0	39	114	250	102	177	379	323	265	100	307	
"Aruba"	0	0	0	0	0	0	0	0	0	0	0	0	0	184	282	365	358	270	345	273	
"Guinea-Bissau"	0	0	0	0	0	0	0	0	0	266	1	101	225	52	164	186	242	193	169	167	
"Cyprus"	323	955	816	155	2237	3159	850	261	30	840	304	11	630	150	120	45	161	63	254	146	
"Antigua and Barbuda"	0	14	0	0	0	1	1	5	39	0	172	0	31	1	2	20	67	201	71	137	
"Lebanon"	0	6	11	5	96	402	1651	25	105	102	67	186	53	6	44	542	1129	104	12	111	
"Georgia"	314	682	221	431	196	217	467	225	173	531	341	175	85	321	143	263	724	1350	85	103	
"Macedonia, North"	4	0	36	32	32	0	0	0	0	2	106	9	88	30	572	508	703	117	49	101	
"Zambia"	0	0	1	0	0	1	17	0	0	7	14	18	2	2	17	14	193	14	293	94	
"Uganda"	0	7	6	0	22	4	0	0	1	0	28	42	110	0	13	9	599	79	10	82	
"Cameroon"	0	64	0	0	0	15	0	10	1	358	23	11	0	8	13	2	4	241	0	79	
"Iceland"	1916	2887	665	624	970	241	1693	1127	47	330	272	254	1115	50	52	247	76	72	84	76	
"Afghanistan"	24	23	23	52	265	0	104	0	3	473	1423	308	1211	18	29	13	537	33	380	72	
"Panama"	1	4	0	115	19	0	0	0	0	76	4535	9	6	39	2	34	28	83	182	64	
"United States Minor Outlying Islands"	0	0	0	0	492	0	5	3	5	110	80	3	31	151	160	29	183	112	118	54	
"Peru"	0	1	1	0	7	8	6	1	45	231	31	14	2	3	0	14	26	28	37	44	
"Kenya"	10	12	44	40	114	137	27	6	237	494	2391	106	1499	576	881	229	614	485	106	43	
"Central African Republic"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	3	0	1	41	
"French Southern and Antarctic Territories"	0	0	0	0	0	0	0	18	0	490	0	0	0	0	0	0	0	0	0	40	
"Bosnia and Herzegovina"	0	4	0	0	18	6	0	31	112	102	163	236	559	1864	1095	41	123	5	84	38	
"Uruguay"	0	0	0	0	1	0	0	70	10	434	24	7	4	4	7	0	21	0	12	35	
"Tajikistan"	0	0	0	3	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	31	
"Ecuador"	4	16	8	6	1034	4187	1434	59	2453	28	188	29	51	158	73	223	25	10	0	28	
"Azerbaijan"	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	7	40	23	
"Pakistan"	55	530	355	584	90	1881	76	275	1279	6160	4597	374	227	234	0	47	112	87	0	22	
"Dominica"	0	0	0	0	1	11	0	0	87	25	0	0	0	0	0	0	53	34	169	21	
"Lao People's Democratic Republic"	0	0	0	0	0	5	120	22	0	0	7	42	3	2	45	167	348	819	67	21	
"Paraguay"	0	0	0	0	18	10	0	0	0	10	86	0	0	30	3	32	16	3	4	16	
"Iran, Islamic Republic of"	430	968	572	626	1391	142	210	449	595	5424	2481	199	30	103	96	153	528	209	19	15	
"Belize"	0	1	0	0	0	14	8	1	0	0	9	5	18	236	0	107	65	0	0	14	
"Malawi"	0	0	26	0	3	3	10	10	0	320	196	168	354	113	193	96	274	40	1	14	
"Chad"	0	0	0	0	126	13	0	407	131	0	47	300	21	0	24	3	0	2	247	13	
"Sudan"	0	0	0	0	0	0	0	0	0	0	1154	0	0	6	0	0	181	71	0	13	
"Christmas Island"	0	0	0	0	0	0	142	4790	0	16	0	0	16	1	0	10	0	0	0	10	
"Algeria"	0	0	845	14	1	0	0	0	0	112	593	0	0	0	4392	0	2	1	22	7	
"Kazakhstan"	26	0	0	4	487	108	0	0	0	281	82	0	0	0	1	1	37	50	30	6	
"Marshall Islands"	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	31	4	
"Brunei Darussalam"	0	0	3	70	6	49	0	125	135	149	61	0	17	110	7	3	1	25	1	4	
"Gabon"	0	0	0	0	0	0	3	70	41	240	287	684	482	29	54	5	29	14	44	4	
"Tokelau"	0	0	0	0	18	1	0	0	0	0	1	0	0	0	0	0	0	0	1	3	
"El Salvador"	0	8	3	153	23	125	41	17	13	124	43	45	37	293	532	3876	605	0	1	3	
"Guatemala"	0	0	0	0	7	0	0	0	10	70	84	338	181	118	0	0	0	0	0	3	
"Moldova, Republic of"	987	503	104	0	0	7	54	20	0	342	0	4	0	19	27	2	29	0	0	3	
"Uzbekistan"	0	0	0	0	0	0	6	0	2	188	346	0	64	0	0	91	10	1	0	3	
